#         q            M           r           M*(1-1/r)        s
  2.052178e+00  3.379407e+00  3.167634e+00  2.312442e+00  2.383994e+00
  2.076486e+00  3.408719e+00  3.179137e+00  2.336155e+00  2.376704e+00
  2.101483e+00  3.438495e+00  3.190618e+00  2.360465e+00  2.369503e+00
  2.126771e+00  3.468745e+00  3.201875e+00  2.385506e+00  2.362499e+00
  2.152426e+00  3.499478e+00  3.212957e+00  2.410768e+00  2.355666e+00
  2.178742e+00  3.530705e+00  3.224019e+00  2.435701e+00  2.348928e+00
  2.206018e+00  3.562435e+00  3.235152e+00  2.460959e+00  2.342218e+00
  2.234382e+00  3.594678e+00  3.246370e+00  2.487229e+00  2.335513e+00
  2.263371e+00  3.627445e+00  3.257492e+00  2.514079e+00  2.328919e+00
  2.292729e+00  3.660745e+00  3.268421e+00  2.541081e+00  2.322499e+00
  2.322900e+00  3.694592e+00  3.279322e+00  2.568310e+00  2.316167e+00
  2.354082e+00  3.728994e+00  3.290264e+00  2.595849e+00  2.309887e+00
  2.385945e+00  3.763964e+00  3.301107e+00  2.623690e+00  2.303730e+00
  2.418469e+00  3.799514e+00  3.311814e+00  2.651902e+00  2.297702e+00
  2.452031e+00  3.835655e+00  3.322477e+00  2.680654e+00  2.291730e+00
  2.486642e+00  3.872400e+00  3.333121e+00  2.710062e+00  2.285812e+00
  2.521981e+00  3.909761e+00  3.343694e+00  2.740175e+00  2.280010e+00
  2.558229e+00  3.947751e+00  3.354217e+00  2.770908e+00  2.274307e+00
  2.595878e+00  3.986384e+00  3.364748e+00  2.802069e+00  2.268634e+00
  2.634679e+00  4.025674e+00  3.375223e+00  2.833423e+00  2.263029e+00
  2.674053e+00  4.065633e+00  3.385527e+00  2.864790e+00  2.257575e+00
  2.714354e+00  4.106276e+00  3.395728e+00  2.896671e+00  2.252228e+00
  2.756262e+00  4.147618e+00  3.405957e+00  2.929739e+00  2.246899e+00
  2.799539e+00  4.189675e+00  3.416166e+00  2.963550e+00  2.241624e+00
  2.843686e+00  4.232460e+00  3.426250e+00  2.997381e+00  2.236475e+00
  2.888946e+00  4.275990e+00  3.436220e+00  3.031620e+00  2.231428e+00
  2.935727e+00  4.320282e+00  3.446117e+00  3.066859e+00  2.226432e+00
  2.983930e+00  4.365352e+00  3.455945e+00  3.102699e+00  2.221504e+00
  3.033354e+00  4.411216e+00  3.465698e+00  3.138631e+00  2.216672e+00
  3.084090e+00  4.457893e+00  3.475373e+00  3.175129e+00  2.211931e+00
  3.136289e+00  4.505400e+00  3.484966e+00  3.212739e+00  2.207266e+00
  3.190009e+00  4.553755e+00  3.494459e+00  3.251021e+00  2.202677e+00
  3.245303e+00  4.602978e+00  3.503841e+00  3.289462e+00  2.198163e+00
  3.302309e+00  4.653088e+00  3.513149e+00  3.328503e+00  2.193717e+00
  3.361137e+00  4.704104e+00  3.522416e+00  3.368676e+00  2.189333e+00
  3.421648e+00  4.756048e+00  3.531588e+00  3.409678e+00  2.185025e+00
  3.483729e+00  4.808940e+00  3.540610e+00  3.451070e+00  2.180807e+00
  3.547759e+00  4.862801e+00  3.549547e+00  3.492960e+00  2.176658e+00
  3.614149e+00  4.917654e+00  3.558476e+00  3.535609e+00  2.172553e+00
  3.682605e+00  4.973522e+00  3.567337e+00  3.579158e+00  2.168513e+00
  3.752704e+00  5.030427e+00  3.576040e+00  3.623671e+00  2.164568e+00
  3.824751e+00  5.088394e+00  3.584612e+00  3.668964e+00  2.160705e+00
  3.899271e+00  5.147447e+00  3.593117e+00  3.714800e+00  2.156896e+00
  3.976276e+00  5.207611e+00  3.601548e+00  3.761320e+00  2.153146e+00
  4.055568e+00  5.268913e+00  3.609870e+00  3.808817e+00  2.149468e+00
  4.137257e+00  5.331379e+00  3.618085e+00  3.857382e+00  2.145861e+00
  4.221615e+00  5.395036e+00  3.626213e+00  3.906989e+00  2.142316e+00
  4.308694e+00  5.459914e+00  3.634255e+00  3.957569e+00  2.138832e+00
  4.398400e+00  5.526039e+00  3.642195e+00  4.009027e+00  2.135417e+00
  4.490790e+00  5.593443e+00  3.650026e+00  4.061345e+00  2.132072e+00
  4.586074e+00  5.662157e+00  3.657742e+00  4.114578e+00  2.128792e+00
  4.684483e+00  5.732210e+00  3.665345e+00  4.168767e+00  2.125572e+00
  4.786263e+00  5.803637e+00  3.672840e+00  4.223927e+00  2.122408e+00
  4.891578e+00  5.876469e+00  3.680235e+00  4.280081e+00  2.119298e+00
  5.000428e+00  5.950742e+00  3.687544e+00  4.337267e+00  2.116246e+00
  5.112819e+00  6.026491e+00  3.694770e+00  4.395545e+00  2.113254e+00
  5.228813e+00  6.103751e+00  3.701887e+00  4.455037e+00  2.110324e+00
  5.348502e+00  6.182560e+00  3.708873e+00  4.515815e+00  2.107456e+00
  5.472062e+00  6.262956e+00  3.715753e+00  4.577692e+00  2.104648e+00
  5.599723e+00  6.344980e+00  3.722559e+00  4.640469e+00  2.101897e+00
  5.731926e+00  6.428670e+00  3.729286e+00  4.704439e+00  2.099197e+00
  5.869168e+00  6.514070e+00  3.735907e+00  4.770092e+00  2.096542e+00
  6.011287e+00  6.601223e+00  3.742400e+00  4.837361e+00  2.093938e+00
  6.157616e+00  6.690172e+00  3.748748e+00  4.905746e+00  2.091399e+00
  6.308277e+00  6.780963e+00  3.754969e+00  4.975138e+00  2.088926e+00
  6.464480e+00  6.873643e+00  3.761129e+00  5.045975e+00  2.086501e+00
  6.627007e+00  6.968261e+00  3.767256e+00  5.118530e+00  2.084114e+00
  6.795305e+00  7.064866e+00  3.773268e+00  5.192547e+00  2.081775e+00
  6.968846e+00  7.163510e+00  3.779093e+00  5.267779e+00  2.079496e+00
  7.148364e+00  7.264246e+00  3.784780e+00  5.344490e+00  2.077270e+00
  7.334942e+00  7.367127e+00  3.790416e+00  5.423087e+00  2.075086e+00
  7.528711e+00  7.472212e+00  3.796005e+00  5.503599e+00  2.072944e+00
  7.729148e+00  7.579556e+00  3.801498e+00  5.585801e+00  2.070852e+00
  7.936250e+00  7.689220e+00  3.806870e+00  5.669593e+00  2.068814e+00
  8.150764e+00  7.801266e+00  3.812126e+00  5.755064e+00  2.066824e+00
  8.373387e+00  7.915756e+00  3.817276e+00  5.842322e+00  2.064877e+00
  8.604414e+00  8.032757e+00  3.822316e+00  5.931475e+00  2.062972e+00
  8.844092e+00  8.152335e+00  3.827243e+00  6.022618e+00  2.061111e+00
  9.092901e+00  8.274561e+00  3.832068e+00  6.115700e+00  2.059292e+00
  9.351446e+00  8.399505e+00  3.836808e+00  6.210599e+00  2.057513e+00
  9.620063e+00  8.527242e+00  3.841469e+00  6.307404e+00  2.055775e+00
  9.898748e+00  8.657849e+00  3.846038e+00  6.406482e+00  2.054079e+00
  1.018759e+01  8.791404e+00  3.850507e+00  6.508092e+00  2.052427e+00
  1.048711e+01  8.927988e+00  3.854887e+00  6.612060e+00  2.050818e+00
  1.079793e+01  9.067686e+00  3.859192e+00  6.718148e+00  2.049249e+00
  1.112098e+01  9.210583e+00  3.863406e+00  6.826427e+00  2.047717e+00
  1.145737e+01  9.356770e+00  3.867503e+00  6.937165e+00  2.046221e+00
  1.180784e+01  9.506339e+00  3.871475e+00  7.050553e+00  2.044759e+00
  1.217239e+01  9.659385e+00  3.875362e+00  7.166638e+00  2.043333e+00
  1.255106e+01  9.816007e+00  3.879197e+00  7.285448e+00  2.041944e+00
  1.294442e+01  9.976306e+00  3.882967e+00  7.407013e+00  2.040594e+00
  1.335321e+01  1.014039e+01  3.886642e+00  7.531362e+00  2.039279e+00
  1.377844e+01  1.030836e+01  3.890207e+00  7.658566e+00  2.037999e+00
  1.422138e+01  1.048034e+01  3.893667e+00  7.788742e+00  2.036752e+00
  1.468318e+01  1.065643e+01  3.897032e+00  7.922010e+00  2.035536e+00
  1.516429e+01  1.083677e+01  3.900321e+00  8.058476e+00  2.034352e+00
  1.566497e+01  1.102147e+01  3.903557e+00  8.198245e+00  2.033200e+00
  1.618613e+01  1.121066e+01  3.906739e+00  8.341374e+00  2.032080e+00
  1.672930e+01  1.140447e+01  3.909838e+00  8.487869e+00  2.030991e+00
  1.729590e+01  1.160305e+01  3.912837e+00  8.637782e+00  2.029932e+00
  1.788669e+01  1.180653e+01  3.915747e+00  8.791354e+00  2.028902e+00
  1.850231e+01  1.201506e+01  3.918588e+00  8.948873e+00  2.027901e+00
  1.914409e+01  1.222879e+01  3.921363e+00  9.110421e+00  2.026928e+00
  1.981414e+01  1.244788e+01  3.924056e+00  9.275855e+00  2.025983e+00
  2.051442e+01  1.267248e+01  3.926654e+00  9.445107e+00  2.025064e+00
  2.124581e+01  1.290278e+01  3.929172e+00  9.618536e+00  2.024171e+00
  2.200886e+01  1.313894e+01  3.931637e+00  9.796636e+00  2.023304e+00
  2.280492e+01  1.338115e+01  3.934056e+00  9.979643e+00  2.022464e+00
  2.363645e+01  1.362959e+01  3.936418e+00  1.016741e+01  2.021648e+00
  2.450597e+01  1.388445e+01  3.938710e+00  1.035979e+01  2.020857e+00
